pais,año,GDP (current US$),"Inflation, consumer prices (annual %)"
Ecuador,1965,2387047395.70254,3.06907066175736
Ecuador,1966,2429308638.838,5.45372692773346
Ecuador,1967,2553595172.08743,3.81813815731002
Ecuador,1968,2582179864.15493,4.31765612971037
Ecuador,1969,3112165727.38342,6.32668144851309
Ecuador,1970,2862503139.00358,5.17127612015708
Ecuador,1971,2754219271.03082,9.52167078004847
Ecuador,1972,3185986087.33583,7.52511790034726
Ecuador,1973,3891754150.23796,12.1281464590342
Ecuador,1974,6599257044.12414,22.7040816226158
Ecuador,1975,7731674472.07212,14.2896742946894
Ecuador,1976,9091921030.17345,10.1746301165654
Ecuador,1977,11026342618.1141,12.9444138723701
Ecuador,1978,11922497876.4828,13.098138583854
Ecuador,1979,14175160902.0721,10.1171908690016
Ecuador,1980,17881508242.4481,11.9092893836134
Ecuador,1981,21810759353.7304,14.0479686718868
Ecuador,1982,19929846396.4239,16.2844880461285
Ecuador,1983,17152477036.5005,48.4182220804492
Ecuador,1984,16912509091.855,31.2195815120372
Ecuador,1985,17149088413.35,27.9936107429224
Ecuador,1986,15314138472.3282,23.0302261142618
Ecuador,1987,13945426859.4657,29.5039972488395
Ecuador,1988,13051881851.4068,58.2162865413938
Ecuador,1989,13890823704.5545,75.6481901026386
Ecuador,1990,15239272611.5809,48.5191129963729
Ecuador,1991,16988535267.6338,48.718080675219
Ecuador,1992,18094238119.0595,54.6078215093597
Ecuador,1993,18938717358.6793,44.9550537592163
Ecuador,1994,22708673336.6683,27.3108817940495
Ecuador,1995,24432884442.2211,22.9341344145802
Ecuador,1996,25226393196.5983,24.4114592150674
Ecuador,1997,28162053026.5133,30.6575675722173
Ecuador,1998,27981896948.4742,36.0984331623886
Ecuador,1999,19645272636.3182,52.2420051858225
Ecuador,2000,17539454727.3637,96.0963756926096
Ecuador,2001,23127055000.0,37.6767454518094
Ecuador,2002,27054197000.0,12.4835980082095
Ecuador,2003,30965208000.0,7.92936487461556
Ecuador,2004,35194947000.0,2.74323198926704
Ecuador,2005,40278849000.0,2.1682770118372
Ecuador,2006,45690762000.0,3.29874846258215
Ecuador,2007,49848725000.0,2.27618478002121
Ecuador,2008,61139438000.0,8.40009593987462
Ecuador,2009,60094978000.0,5.15996829181047
Ecuador,2010,68151329000.0,3.55437734567843
Ecuador,2011,78986648000.0,4.4745326579584
Ecuador,2012,87735048000.0,5.10172180958666
Ecuador,2013,96570334000.0,2.72177577710371
Ecuador,2014,102717794000.0,3.58922016616663
Ecuador,2015,97209558000.0,3.96664623255358
Ecuador,2016,97671433000.0,1.72826463324533
Ecuador,2017,104467486000.0,0.417335588666825
Ecuador,2018,107478961000.0,-0.224103246005552
Ecuador,2019,107595830000.0,0.266012515466155
Ecuador,2020,95865473000.0,-0.338872392562139
Ecuador,2021,107179074000.0,0.133251386096389
Ecuador,2022,116133121000.0,3.46616972213077
Ecuador,2023,121147057000.0,2.21568764237058
Ecuador,2024,124676074700.0,1.54732515615369
Mexico,1960,13040000000.0,4.92751886903116
Mexico,1961,14160000000.0,1.6087596908193
Mexico,1962,15200000000.0,1.19898417815082
Mexico,1963,16960000000.0,0.594055008461965
Mexico,1964,20080000000.0,2.33790317234362
Mexico,1965,21840000000.0,3.56803865742936
Mexico,1966,24320000000.0,4.21578837738435
Mexico,1967,26560000000.0,3.01694847502148
Mexico,1968,29360000000.0,2.33395093467026
Mexico,1969,32480000000.0,3.36700336711678
Mexico,1970,35520000000.0,5.00341205483431
Mexico,1971,39200000000.0,5.46902899376838
Mexico,1972,45200000000.0,4.94369236377875
Mexico,1973,55280000000.0,12.0819394612938
Mexico,1974,72000000000.0,23.7840154425787
Mexico,1975,88000000000.0,14.9445346409267
Mexico,1976,88875923765.072,15.824722489347
Mexico,1977,81912018783.5024,29.0641247103461
Mexico,1978,102648570299.117,17.4572925678265
Mexico,1979,134531900898.926,18.1912462987643
Mexico,1980,205577055465.993,26.3516513562834
Mexico,1981,263797827860.494,27.9337625982399
Mexico,1982,184602611609.517,58.9134198531048
Mexico,1983,156167000432.994,101.874938435992
Mexico,1984,184230754105.394,65.4488071277602
Mexico,1985,195241069482.077,57.7484484008702
Mexico,1986,134556034672.991,86.2333169923538
Mexico,1987,147542558208.888,131.82738392309
Mexico,1988,181611150496.787,114.162258549066
Mexico,1989,221403098266.77,20.0078767139978
Mexico,1990,261253675692.838,26.6516725646771
Mexico,1991,313139656145.745,22.662359455061
Mexico,1992,363157832923.734,15.5078962533573
Mexico,1993,530160763662.543,9.75146045357553
Mexico,1994,553618247900.74,6.96581237191123
Mexico,1995,380157469866.849,34.9992712889592
Mexico,1996,432157945024.428,34.3783832235168
Mexico,1997,523449530464.257,20.6256287259247
Mexico,1998,557461102630.658,15.9283950119353
Mexico,1999,631249359702.389,16.5856169707538
Mexico,2000,742061329749.127,9.49156149435403
Mexico,2001,796064590549.136,6.36773806235037
Mexico,2002,810666116401.915,5.03072733151295
Mexico,2003,765549967703.273,4.54690012118718
Mexico,2004,819459227375.022,4.68840884843143
Mexico,2005,917571853529.104,3.98805714597437
Mexico,2006,1020265057882.01,3.62946762439132
Mexico,2007,1102355554971.95,3.96684905458235
Mexico,2008,1161553459715.1,5.12498274575896
Mexico,2009,943437415024.633,5.29735584228856
Mexico,2010,1105424238731.09,4.15672722680174
Mexico,2011,1229013703416.76,3.40737824605742
Mexico,2012,1255110424817.79,4.11150981070289
Mexico,2013,1327436290282.67,3.80639069747204
Mexico,2014,1364507717614.13,4.01861608078679
Mexico,2015,1213294467716.88,2.72064064964023
Mexico,2016,1112233497452.7,2.8217078474766
Mexico,2017,1190721475906.0,6.04145724018986
Mexico,2018,1256300182879.73,4.89935015356551
Mexico,2019,1304106203902.45,3.63596142127046
Mexico,2020,1121064767308.42,3.39683415570006
Mexico,2021,1316569466685.95,5.68920847683753
Mexico,2022,1466934724293.06,7.8962761916855
Mexico,2023,1798317581486.88,5.52796087314389
Mexico,2024,1856365616165.94,4.72225588452932
Paraguay,1960,288884368.016934,8.18181818181802
Paraguay,1961,322053713.15873,18.4873949579832
Paraguay,1962,360698412.698413,1.41843971631208
Paraguay,1963,383904761.904762,2.09790209790211
Paraguay,1964,408349206.349206,1.36986301369865
Paraguay,1965,443587301.587302,3.8592981578052
Paraguay,1966,465888888.888889,2.87319422160326
Paraguay,1967,492674603.174603,1.36526759221905
Paraguay,1968,517650793.650794,0.708073577854366
Paraguay,1969,556293650.793651,2.24684753574717
Paraguay,1970,594611111.111111,-0.859556021006909
Paraguay,1971,664571428.571429,4.95325693640987
Paraguay,1972,769039682.539683,9.18037497303685
Paraguay,1973,995531746.031746,12.796894532602
Paraguay,1974,1333475396.8254,25.2333177791075
Paraguay,1975,1511420634.92063,6.69306008366748
Paraguay,1976,1698960317.46032,4.47461474664498
Paraguay,1977,2092158730.15873,9.35985291662838
Paraguay,1978,2559857142.85714,10.6602475929181
Paraguay,1979,3416777777.77778,28.1610386024436
Paraguay,1980,4448087301.5873,22.4473301362177
Paraguay,1981,5624515873.01587,12.9746974698193
Paraguay,1982,5419411764.70588,5.12006543713188
Paraguay,1983,5673248726.16438,13.4337555631631
Paraguay,1984,4502462807.13993,20.3114625460255
Paraguay,1985,3282449235.76129,25.2107164358818
Paraguay,1986,3723993942.79088,31.7425972672999
Paraguay,1987,3971044723.8024,21.8102740350983
Paraguay,1988,4255683528.33333,22.5942571785268
Paraguay,1989,4757732199.96213,26.4221267235586
Paraguay,1990,5812114523.01187,37.2599561799201
Paraguay,1991,6984367762.90371,24.2253521126763
Paraguay,1992,7157424031.06045,15.192743764172
Paraguay,1993,7249533620.30614,18.2086614173228
Paraguay,1994,7870982004.8195,20.5661948376355
Paraguay,1995,9062131475.02318,13.4254143646407
Paraguay,1996,9788391780.52421,9.79968339016083
Paraguay,1997,9965225678.05093,6.94956608534118
Paraguay,1998,9260481572.42462,11.5532684355839
Paraguay,1999,8837070235.51892,6.75226586102725
Paraguay,2000,8855705139.55857,8.98215976750022
Paraguay,2001,8495806432.18467,7.26806028584825
Paraguay,2002,7196260656.84556,10.5102420856612
Paraguay,2003,7691367471.17992,14.2367970499143
Paraguay,2004,9624440836.29309,4.32326492967491
Paraguay,2005,10737500188.1123,6.80738203116377
Paraguay,2006,13429430050.261,9.58934941129229
Paraguay,2007,17856393235.4338,8.13047417698577
Paraguay,2008,24615267663.5385,10.1547846489023
Paraguay,2009,22355151162.0031,2.59194673430567
Paraguay,2010,27260886405.2341,4.65116279069765
Paraguay,2011,33756238766.4931,8.2539682539683
Paraguay,2012,33271921136.3071,3.67591897974496
Paraguay,2013,38501122141.4135,2.68385738718582
Paraguay,2014,40377929295.6522,5.02882767456766
Paraguay,2015,36211447840.1027,3.12900274473925
Paraguay,2016,36089700222.9546,4.08682280577241
Paraguay,2017,38997129473.5613,3.60247741348943
Paraguay,2018,40225448340.6341,3.97561015740694
Paraguay,2019,37925338329.156,2.75709727562775
Paraguay,2020,35432178068.1756,1.76751592356698
Paraguay,2021,39950899938.7474,4.787983101236
Paraguay,2022,41952910858.0846,9.76556667164402
Paraguay,2023,43118053174.5461,4.63202285403356
Paraguay,2024,44458118397.4445,3.83540271728533
Peru,1960,2571986572.12719,8.6644591627191
Peru,1961,2897852693.27494,5.91670898836375
Peru,1962,3284322201.27831,6.64109326359749
Peru,1963,3598272493.3109,6.07014388428593
Peru,1964,4353664866.67985,9.79228486663484
Peru,1965,5163008077.37371,16.3899613894424
Peru,1966,6109048736.61853,8.84060374922209
Peru,1967,6194340079.8786,9.78360256063414
Peru,1968,5736083835.29034,19.086618545438
Peru,1969,6420909789.83,6.23615806078061
Peru,1970,7432223176.93623,5.02523590072424
Peru,1971,8289582883.67673,6.79063936495415
Peru,1972,9189413409.28138,7.21972216770545
Peru,1973,10994381895.1161,9.48905109503398
Peru,1974,13858441211.4692,16.8916666665703
Peru,1975,16931162355.4802,23.6187352963326
Peru,1976,16131958850.6444,33.4832756634566
Peru,1977,14544913960.5062,38.0540914196793
Peru,1978,12491876742.9708,57.8487826251505
Peru,1979,15954012439.1662,66.6944229664876
Peru,1980,18136838537.725,59.1450712444914
Peru,1981,21648214892.8828,75.4332687576064
Peru,1982,21794535621.216,64.4481585387929
Peru,1983,17345260564.4824,111.150635209157
Peru,1984,17600400384.5073,110.208519562543
Peru,1985,15078736875.387,163.399505243688
Peru,1986,21859448586.485,77.9210255473595
Peru,1987,36889706592.6843,85.8223062381846
Peru,1988,15439408447.2,667.019328585961
Peru,1989,22499558526.3682,3398.67901005332
Peru,1990,26410386962.8019,7481.66361124526
Peru,1991,34341465998.2003,409.530166622023
Peru,1992,35966302303.263,73.5282942442641
Peru,1993,34832077220.8537,48.5799864468885
Peru,1994,44882079766.8913,23.7369050565046
Peru,1995,53312793687.3836,11.1287029707089
Peru,1996,55252414130.3019,11.5379424115177
Peru,1997,58147522522.5225,8.56218948953653
Peru,1998,55501467877.381,7.24782175213469
Peru,1999,50187324567.883,3.46965996293019
Peru,2000,51744749133.213,3.75733833344474
Peru,2001,52030158775.4055,1.97709878502053
Peru,2002,54777553515.0809,0.193135003853722
Peru,2003,58731030121.8671,2.25937753363072
Peru,2004,66768703497.5687,3.66247320092233
Peru,2005,76060606060.6061,1.61630193862544
Peru,2006,88643193061.748,2.00225801248819
Peru,2007,102170981144.136,1.77998644680372
Peru,2008,120550599815.441,5.78587598206755
Peru,2009,120822986521.479,2.936231535967
Peru,2010,147527631520.729,1.52832059732901
Peru,2011,171761737046.585,3.36931095333853
Peru,2012,192650021648.583,3.61121294940163
Peru,2013,201175543571.392,2.76789666082002
Peru,2014,200786250582.943,3.41194579807465
Peru,2015,189802976285.619,3.39809194746308
Peru,2016,191898104390.379,3.55717663556279
Peru,2017,211007984080.911,2.99490045809443
Peru,2018,222597009739.235,1.50915423024742
Peru,2019,228346006003.648,2.25212191358027
Peru,2020,201409694755.934,2.00241205759292
Peru,2021,226328766459.634,4.27166381536798
Peru,2022,246065570308.155,8.33370630096231
Peru,2023,266958720837.988,6.45561348369586
Peru,2024,289221969062.941,2.00770739412712
United States,1960,541988586206.897,1.45797598627791
United States,1961,561940310344.828,1.07072414764724
United States,1962,603639413793.103,1.19877334820186
United States,1963,637058551724.138,1.23966942148753
United States,1964,684144620689.655,1.27891156462591
United States,1965,741904862068.965,1.58516926383662
United States,1966,813032758620.69,3.0150753768844
United States,1967,859620034482.759,2.77278562259309
United States,1968,940225000000.0,4.27179615288537
United States,1969,1017438172413.79,5.46238620028745
United States,1970,1073303000000.0,5.83825533848251
United States,1971,1164850000000.0,4.29276668813051
United States,1972,1279110000000.0,3.27227824655283
United States,1973,1425376000000.0,6.17776006377038
United States,1974,1545243000000.0,11.0548048048048
United States,1975,1684904000000.0,9.14314686496535
United States,1976,1873412000000.0,5.74481263549085
United States,1977,2081826000000.0,6.5016839947284
United States,1978,2351599000000.0,7.63096383885606
United States,1979,2627333000000.0,11.2544711292795
United States,1980,2857307000000.0,13.5492019749684
United States,1981,3207041000000.0,10.3347153402771
United States,1982,3343789000000.0,6.13142700027493
United States,1983,3634038000000.0,3.21243523316065
United States,1984,4037613000000.0,4.30053547523429
United States,1985,4338979000000.0,3.54564415209365
United States,1986,4579631000000.0,1.89804772234276
United States,1987,4855215000000.0,3.6645632175169
United States,1988,5236438000000.0,4.07774110744413
United States,1989,5641580000000.0,4.82700303008944
United States,1990,5963144000000.0,5.39795643990325
United States,1991,6158129000000.0,4.23496396453849
United States,1992,6520327000000.0,3.02881967814969
United States,1993,6858559000000.0,2.95165696638559
United States,1994,7287236000000.0,2.60744159215453
United States,1995,7639749000000.0,2.80541968853662
United States,1996,8073122000000.0,2.93120419993441
United States,1997,8577554457000.0,2.33768993730735
United States,1998,9062818202000.0,1.55227909874364
United States,1999,9631174489000.0,2.18802719697358
United States,2000,10250947997000.0,3.37685727149929
United States,2001,10581929774000.0,2.82617111885407
United States,2002,10929112955000.0,1.58603162650601
United States,2003,11456442041000.0,2.27009497336115
United States,2004,12217193198000.0,2.67723669309172
United States,2005,13039199193000.0,3.3927468454955
United States,2006,13815586948000.0,3.22594410070404
United States,2007,14474226905000.0,2.85267248150138
United States,2008,14769857911000.0,3.839100296651
United States,2009,14478064934000.0,-0.355546266299747
United States,2010,15048964444000.0,1.6400434423899
United States,2011,15599728123000.0,3.156841568622
United States,2012,16253972230000.0,2.06933726526067
United States,2013,16843190993000.0,1.46483265562717
United States,2014,17550680174000.0,1.62222297740817
United States,2015,18206020741000.0,0.118627135552451
United States,2016,18695110842000.0,1.26158320570536
United States,2017,19477336549000.0,2.13011000365961
United States,2018,20533057312000.0,2.44258329692817
United States,2019,21380976119000.0,1.81221007526021
United States,2020,21060473613000.0,1.23358439630629
United States,2021,23315080560000.0,4.69785886363742
